# class=rough
# date=20260426_012843
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
1181703,1278,137,7768,224,-121,-210,80
1181713,988,377,8230,494,-129,-259,81
1181723,1539,17,8056,181,-17,-227,82
1181733,2013,-76,7849,333,146,-253,83
1181743,1934,419,8339,145,60,-207,84
1181753,1939,381,8217,254,81,-212,85
1181763,2196,111,8209,320,-46,-205,86
1181773,1827,-484,8739,429,-92,-223,87
1181783,2308,239,8256,227,90,-183,88
1181793,1846,-874,8382,195,54,-171,89
1181803,1395,-546,8857,330,-55,-193,90
1181813,1570,-15,9101,102,-93,-153,91
1181823,2117,-769,9172,218,25,-169,92
1181833,2759,-257,8350,149,154,-148,93
1181843,2355,-999,8347,-32,243,-102,94
1181853,1753,-451,8842,176,60,-102,95
1181863,1446,-852,9004,147,-214,-79,96
1181873,1365,-1054,8859,277,-184,-104,97
1181883,1340,-408,8996,79,-49,-98,98
1181893,1985,-514,8088,-99,224,-91,99
1181903,2055,-760,8192,158,85,-115,100
1181913,2001,-115,7953,32,-81,-73,101
1181923,2246,-793,8828,266,-182,-105,102
1181933,1938,107,8824,347,-145,-121,103
1181943,1618,-192,8681,27,1,-78,104
1181953,1551,-1599,9287,301,64,-136,105
1181963,1994,1009,8616,40,-24,-107,106
1181973,2007,-489,9071,99,-158,-128,107
1181983,1991,214,8584,238,-1,-163,108
1181993,2153,45,8271,-180,78,-108,109
1182003,2097,-326,8567,63,116,-146,110
1182013,1125,322,8264,-64,-110,-124,111
1182023,644,-594,9177,101,-358,-172,112
1182033,1733,282,9373,52,-99,-195,113
1182043,1948,-164,8574,-303,313,-170,114
1182053,2169,431,8187,-221,465,-178,115
1182063,2045,-531,8290,-116,169,-160,116
1182073,2078,-426,9101,269,-141,-187,117
1182083,1905,41,8340,-50,25,-130,118
1182093,2048,-1443,9617,54,171,-142,119
1182103,1967,386,8620,-150,413,-115,120
1182113,1895,-1126,7893,-225,335,-92,121
1182123,1769,-584,8790,69,90,-113,122
1182133,2196,-290,8021,-254,87,-58,123
1182143,2000,-819,8728,21,106,-104,124
1182153,2136,-139,8563,-327,329,-48,125
1182163,2444,-472,8389,-169,241,-68,126
1182173,1858,-409,8271,-97,99,-74,127
1182183,2177,-280,8634,-139,-53,-45,128
1182193,2043,-187,8640,-170,124,-45,129
1182203,1839,-302,8070,-279,243,-30,130
1182213,1839,-302,8070,-279,243,-30,131
1182223,2306,-125,8072,-236,164,-39,132
1182233,2222,-196,8464,-196,-8,-49,133
1182243,2222,-684,8326,-187,-3,-44,134
1182253,2217,-241,7837,-249,11,-30,135
1182263,1677,-197,7912,-316,-67,-22,136
1182273,1359,-365,8419,-169,-145,-56,137
1182283,1755,146,8350,-247,-77,-52,138
1182293,2056,-283,8802,-263,28,-56,139
1182303,2427,389,7881,-266,239,-55,140
1182313,2003,-314,7278,-248,144,-49,141
1182323,1477,220,7218,7,-139,-94,142
1182333,1222,246,8017,0,-341,-106,143
1182343,1566,21,8435,75,-94,-128,144
1182353,1723,713,7968,-130,241,-121,145
1182363,1837,327,7258,-160,331,-121,146
1182373,2104,81,7550,167,43,-160,147
1182383,1216,773,7710,175,-298,-149,148
1182393,1262,-403,8494,301,-293,-181,149
1182403,2160,755,8145,98,124,-176,150
1182413,2289,354,7896,-190,300,-146,151
1182423,1827,-104,8030,244,254,-209,152
